Year,Month,Day,Hour,Minute,Second,KUM_META.rmm,KUM_META.wdir,KUM_META.pwd_rmm,KUM_META.t,KUM_META.rh,KUM_META.pwd_visibility_1,KUM_META.ws
2023,10,06,19,00,00,0.01333,167.48333,0.00576,10.09333,67.75,19030.9,7.07
2023,10,06,20,00,00,0.13733,167.93333,0.03241,9.02833,91.56667,8801.2931,7.70833
2023,10,06,21,00,00,0.30533,142.31667,0.05946,7.99,96.16667,5118.61404,9.74667
2023,10,06,22,00,00,0.562,137.58333,0.10492,7.71167,99.68333,3798.3,9.05
2023,10,06,23,00,00,0.27333,155.91667,0.04797,9.05667,99.75,5166.4,8.39167
2023,10,07,00,00,00,0.19733,164.38333,0.0361,9.925,99.48333,9211.7,7.19667
2023,10,07,01,00,00,0.18,174.63333,0.03153,10.78,100,7168.55,5.25
2023,10,07,02,00,00,0.04867,210.73333,0.00458,11.495,100,16133.2,2.50167
2023,10,07,03,00,00,0.00267,249,0,11.98667,100,19510.73333,3.61667
2023,10,07,04,00,00,0.01467,258.1,0.0039,11.90167,100,15865.4,3.28833
2023,10,07,05,00,00,0.016,247.5,0.00136,11.725,100,16660.61667,2.575
2023,10,07,06,00,00,0.00267,261.9,0.00085,11.28333,99.98333,16251.41667,4.42667
2023,10,07,07,00,00,0.022,267.55,0.00407,10.02,100,12841.16667,5.1
2023,10,07,08,00,00,0.00267,295.28333,0.00068,9.51333,100,15637.05,6.045
2023,10,07,09,00,00,0.036,313.6,0.00627,7.15667,99.93333,10560.48333,7.095
2023,10,07,10,00,00,0.03867,315.65,0.00644,4.82167,100,17089.96667,8.41
2023,10,07,11,00,00,0.03067,319.46667,0.00373,4.405,100,14162.15,8.11
2023,10,07,12,00,00,0.00467,317.58333,0.00085,4.95,100,19824.88333,7.785
2023,10,07,13,00,00,0.004,313.28333,0.00136,5.695,100,19139.73333,7.25833
2023,10,07,14,00,00,0.00333,306.78333,0.00051,6.18833,94.93333,19152.23333,8.06667
2023,10,07,15,00,00,0.00267,315.06667,0.00034,6.04667,81.15,19301.11667,8.43667
2023,10,07,16,00,00,0.00133,304.36667,0.00017,6.075,77.56667,19997.81667,7.19333
2023,10,07,17,00,00,0.00429,306.1,0.00068,5.22833,79.46667,20000,8.535
2023,10,07,18,00,00,0.00467,313.66667,0.00186,4.48,79.25,20000,8.70667
2023,10,07,19,00,00,0.00067,314.51667,0.00068,4.29333,75.51667,20000,8.96167
2023,10,07,20,00,00,0.002,312.53333,0.00034,4.03167,72.56667,20000,9.615
2023,10,07,21,00,00,0.00067,313.5,0,3.815,69.26667,20000,8.75
2023,10,07,22,00,00,0.002,309.96667,0,3.61167,66.7,20000,8.52
2023,10,07,23,00,00,0.00533,308.68333,0,3.47667,64.28333,20000,8.30833
2023,10,08,00,00,00,0.00133,312.3,0,3.31667,62.28333,20000,7.69167
2023,10,08,01,00,00,0.00133,306.86667,0,2.95333,62.25,20000,7.83
2023,10,08,02,00,00,0.004,312.76667,0,2.885,62.21667,20000,8.22
2023,10,08,03,00,00,0,311.08333,0,2.76833,64.16667,20000,7.46667
2023,10,08,04,00,00,0.004,318.33333,0,2.78333,68.6,20000,8.03333
2023,10,08,05,00,00,0.00133,323.7,0.00017,2.015,82.35,19985.48333,6.57333
2023,10,08,06,00,00,0.00333,315.56667,0,2.16333,82.73333,20000,5.87667
2023,10,08,07,00,00,0,323.8,0.00034,2.62833,77.68333,20000,6.835
2023,10,08,08,00,00,0.00467,312.41667,0.00153,2.80333,79.03333,19975.83333,7.04
2023,10,08,09,00,00,0.00133,322.6,0.00119,3.215,77.7,20000,6.59667
2023,10,08,10,00,00,0.002,286,0,4.065,69.31667,20000,7.41833
2023,10,08,11,00,00,0.00067,296.28333,0,4.71167,64.58333,20000,7.95833
2023,10,08,12,00,00,0.002,319.66667,0,5.34333,62.81667,20000,7.77167
2023,10,08,13,00,00,0,306.56667,0,5.86167,60.25,20000,7.01
2023,10,08,14,00,00,0.00067,318.28333,0,6.20167,60.13333,20000,7.40333
2023,10,08,15,00,00,0.00133,305.88333,0,6.12,60.48333,20000,7.02833
2023,10,08,16,00,00,0.002,314.55,0,5.87833,60.23333,20000,6.63667
2023,10,08,17,00,00,0,314.41667,0,5.615,61.8,20000,5.71
2023,10,08,18,00,00,0.002,310.6,0,4.88,66.4,20000,6.27
2023,10,08,19,00,00,0.00133,317.51667,0,4.17,68.01667,20000,5.33333
2023,10,08,20,00,00,0,317.43333,0,3.61333,71.05,20000,5.16667
2023,10,08,21,00,00,0,299.98333,0,3.37833,73.9,20000,4.37167
2023,10,08,22,00,00,0.00067,294.76667,0,2.78167,77.05,20000,3.375
2023,10,08,23,00,00,0,294.5,0,2.36833,76.25,20000,3.51
2023,10,09,00,00,00,0,290.53333,0,2.1,74.91667,20000,3.6
2023,10,09,01,00,00,0.00133,289.65,0,1.74,77.16667,20000,3.695
2023,10,09,02,00,00,0,289.71667,0,1.51,80.58333,20000,3.07
2023,10,09,03,00,00,0,305.3,0,1.69333,83.18333,20000,3.445
2023,10,09,04,00,00,0.00143,312.73333,0,1.76667,84.26667,20000,2.71
2023,10,09,05,00,00,0.002,302.35,0,1.18333,87.33333,20000,3.23
2023,10,09,06,00,00,0.00267,293.8,0,0.79,90.1,20000,3.06333
2023,10,09,07,00,00,0.00067,295.18333,0,0.90333,90.41667,20000,3.23833
2023,10,09,08,00,00,0.00067,301.83333,0,1.96167,87.5,20000,3.17667
2023,10,09,09,00,00,0,312.75,0,3.34833,81.71667,20000,3.09167
2023,10,09,10,00,00,0,319.78333,0,4.05333,78.53333,20000,2.81167
2023,10,09,11,00,00,0,319.36667,0,4.37833,77.55,20000,2.855
2023,10,09,12,00,00,0,325.05,0,5.04833,73.7,20000,2.69167
2023,10,09,13,00,00,0,288.51667,0,5.87333,68.91667,20000,3.06
2023,10,09,14,00,00,0,300.38333,0,6.50667,61.58333,20000,3.235
2023,10,09,15,00,00,0.00267,296.25,0.00085,6.34333,64.88333,19699.53333,2.66667
2023,10,09,16,00,00,0,310.18333,0,6.38833,63,20000,2.83167
2023,10,09,17,00,00,0,306.53333,0,5.475,67.16667,20000,2.43833
2023,10,09,18,00,00,0,305.36667,0,4.51833,72,20000,2.51167
2023,10,09,19,00,00,0,301.63333,0,3.835,73.95,20000,2.50667
2023,10,09,20,00,00,0.00067,294.95,0,2.8,79.08333,20000,2.65
2023,10,09,21,00,00,0,295.05,0,2.3,82.53333,20000,2.67
2023,10,09,22,00,00,0,293.78333,0,1.91167,84.73333,20000,2.67667
2023,10,09,23,00,00,0,299.2,0,1.60333,85.63333,20000,2.65833
2023,10,10,00,00,00,0.00067,299.63333,0,1.18167,87.45,20000,2.22333
2023,10,10,01,00,00,0.00067,294.88333,0,0.77333,89.85,20000,2.27333
2023,10,10,02,00,00,0.00067,291.9,0,0.685,91.36667,20000,2.265
2023,10,10,03,00,00,0.00067,289.3,0,0.55333,91.75,20000,2.74167
2023,10,10,04,00,00,0.00133,299.56667,0,0.48,92.26667,20000,2.525
2023,10,10,05,00,00,0.00267,300.26667,0,0.77333,89.38333,20000,1.61833
2023,10,10,06,00,00,0.00133,289.01667,0,0.9,89.1,20000,1.59333
2023,10,10,07,00,00,0,250.58333,0,1.775,85.85,20000,0.99667
2023,10,10,08,00,00,0.00067,216.78333,0,3.555,80.01667,20000,0.765
2023,10,10,09,00,00,0.00067,228.06667,0.00051,4.745,77.65,20000,1.44167
2023,10,10,10,00,00,0.01867,196,0.00508,5.30167,79.38333,19917.26667,0.82
2023,10,10,11,00,00,0.014,193.18333,0.0022,6.07667,79.58333,20000,1.345
2023,10,10,12,00,00,0.00133,199.2,0.00034,7.4,73.66667,20000,2.27
2023,10,10,13,00,00,0.00067,213.36667,0,8.61333,66.28333,20000,3.39167
2023,10,10,14,00,00,0.00133,218.78333,0,9.35,65.35,20000,3.19333
2023,10,10,15,00,00,0,232.63333,0,9.73833,63,20000,2.93
2023,10,10,16,00,00,0,246.56667,0,9.72,59.53333,20000,2.29333
2023,10,10,17,00,00,0,231.71667,0,8.92833,65.11667,20000,2.29333
2023,10,10,18,00,00,0,214.15,0,8.62333,69.78333,20000,2.43167
2023,10,10,19,00,00,0.002,211.46667,0,9.8,65.5,20000,5.06667
2023,10,10,20,00,00,0.002,197.16667,0,9.58,72.83333,20000,5.55167
2023,10,10,21,00,00,0.00333,200.91667,0,9.43833,74.06667,20000,5.76333
2023,10,10,22,00,00,0.004,209.78333,0,9.55333,78.43333,20000,5.58833
2023,10,10,23,00,00,0.00333,202.3,0,9.64833,80.98333,20000,5.78167
2023,10,11,00,00,00,0.002,200.55,0,9.83333,81.58333,20000,5.21667
2023,10,11,01,00,00,0.00067,193.66667,0,9.925,82.96667,20000,5.17833
2023,10,11,02,00,00,0.00467,195.71667,0,9.82333,86.46667,20000,5.83667
2023,10,11,03,00,00,0.00267,197.21667,0,10.28167,85.48333,20000,5.39333
2023,10,11,04,00,00,0.01333,191.85,0.00271,10.54167,85.76667,17665.05,5.72167
2023,10,11,05,00,00,0.01333,200.83333,0.00458,10.545,91.35,10801.05,7.04167
2023,10,11,06,00,00,0.06533,201.48333,-1.68424,10.62,92.85,7542.4,7.77833
2023,10,11,07,00,00,0.072,210.46667,0.00797,10.86167,95.58333,4123.25,8.22333
2023,10,11,08,00,00,0.03333,209.94915,0.00586,11.22712,98.44068,8848.68966,9.12542
2023,10,11,09,00,00,0.11533,205.53333,0.01678,11.515,99.58333,4136.68333,8.02667
2023,10,11,10,00,00,0.20733,209.98333,0.03254,11.85333,99.83333,4679.93333,7.255
2023,10,11,11,00,00,0.34467,218.88333,0.06085,12.51833,99.9,3399.71667,7.64
2023,10,11,12,00,00,0.27667,219.95,0.03847,12.88167,100,2771.65,7.1
2023,10,11,13,00,00,0.11867,220.96667,0.01542,13.08833,99.7,3241.23333,6.69333
2023,10,11,14,00,00,0.00467,222.96667,0.00169,13.45833,98.85,7828.11667,6.74167
2023,10,11,15,00,00,0.01267,226.56667,0.00458,13.6,98.88333,8607.03333,6.69
2023,10,11,16,00,00,0.146,224.5,0.03203,13.53,99.31667,6298.41667,6.26667
